答案,題目,1,2,3,4
2,醃漬酸菜所利用的微生物是,醋酸菌,乳酸菌,酵母,黴菌
3,罐頭捲封部位是由幾層馬口鐵皮所構成？,三層,四層,五層,六層
3,卵磷脂是屬於,漂白劑,發色劑,乳化劑,防腐劑
2,蜜餞製造時使用何種糖最易滲透？,蔗糖,葡萄糖,麥芽糖,乳糖
3,大豆製油時使用的溶劑為,酒精,甲醇,正己烷,丙醇
1,牛肉、豬肉及其他禽畜肉之肉色組成，主要是因,肌紅蛋白及血紅蛋白,胡蘿蔔素,花青素,番茄紅素
3,下列之解凍方法之最終品質以何者最差？,微波解凍,冷藏解凍,室溫解凍,流水解凍
4,食品中的水分與各種鹽類及溶質以混合物狀態存在，欲使食品完全冷凍時，必須冷卻至各溶液之共晶點,0℃,-18℃,-30℃,-60℃
2,欲於 100 克 20℃之自來水中加入 0℃之冰塊來降溫，以得到 0℃的水溫，則最少應加入冰塊,20 克,25 克,30 克,35 克
1,某工廠欲製造果醬，測知果實之糖度為 10 度 Bx，砂糖純度為 95％，製品糖度訂為 65 度 Bx，濃縮率 80％，若最後成品為 100 公斤，則果實及砂糖之配合量為,63.2 及 61.8 公斤,68.5 及 56.5 公斤,58.5 及 66.5 公斤,64.4 及 60.6 公斤
3,一般殺菌所用的蒸汽壓力為一大氣壓之計示錶壓，若改以絕對壓力表示，則為,0.5 大氣壓,一大氣壓,二大氣壓,三大氣壓
4,食品加工用水,沒有任何限制，只要是乾淨的水即可使用,可以使用地下水,必須使用自來水,必須經過水質檢驗，符合標準後才可使用
2,微生物生長所能利用的為,結合水,自由水,結晶水,固態凍結水
1,芝麻油含有抗氧化性強的_____，所以氧化安定性高。,芝麻酚,維生素 E,BHA,異抗壞血酸
3,對加工食品品質最具影響的因素為,廠牌及商標,價格及產地,原料品質及加工技術,超級市場
3,根據中國國家標準(CNS)，調味乳中所含之生乳或鮮乳量必須為,30％以上,40％以上,50％以上,100%
4,正常活魚的魚肉之 pH 為,酸性,鹼性,酸性或鹼性皆有可能,中性或微鹼性
4,砂糖水溶液之所以具有防腐作用是利用何種原理？,溫度,甜度,溶解度,滲透壓
2,經長期貯藏的蔬菜水果之甜味和酸味皆會下降，主要是由於,褐變反應,呼吸作用,微生物作用?高溫破壞。,高溫破壞
3,乳粉、粉末果汁等的製造一般是利用,冷凍乾燥,熱風乾燥,噴霧乾燥,真空乾燥
2,玉米中水分含量佔 13.5％，蛋白質佔 8.2％，脂質佔 4.6％，醣類佔 72.4％，灰分佔 1.3％，則 400 克玉米中含蛋白質,30.6 克,32.8 克,54 克,289.6 克
3,一般而言，酵母最適活動溫度為攝氏,10 度,20 度,30 度,40 度
1,一般酵母多為磅裝，一磅等於,454 公克,500 公克,600 公克,630 公克
3,下列膠凍材料凝膠後，何者透明度最好,玉米粉,洋菜,果膠,動物膠
2,低酸性罐頭食品係指在嫌氣狀態下之密封容器內，食品之 pH 高於,4.5,4.6,4.7,4.8
3,測量蒸煮肉品的加熱溫度(70℃)與時間(30 分鐘)，是指,蒸煮煙燻機械上的溫度與時間,肉品置入蒸煮煙燻機械時的溫度與時間,肉品中心溫度到達(70℃)時，開始計算時間(30 分鐘),肉品色澤變淺後的溫度與時間
2,肉製品製造時，添加「磷酸鹽」的目的,增加色澤與風味,當「粘著劑」用,增加甜味?減低肉品的澀味。,減低肉品的澀味
3,下列那一種糖的甜度最低？,果糖,葡萄糖,乳糖,蔗糖
3,攝氏 35℃相當於華氏,85℉,90℉,95℉,100℉
4,使用紫外線照射時，那一種敘述是錯誤？,可判別食物的新鮮度,可檢查是否摻有有害物質,可測知食器是否清潔,可造成食品受到輻射污染。
4,酵母的主成份為,澱粉,油脂,酵素,蛋白質
4,下列何者不是油脂氫化作用的目的？,提高油脂的熔點,提高油脂的飽和鍵,提高油脂的安定性,降低原油的臭味
1,營養宣稱低(少)脂肪是以每份 100 公克計，脂肪含量為_____以下者得稱之。,3 公克,5 公克,7 公克,10 公克
2,營養宣稱高(多)膳食纖維是以每份 100 公克計，膳食纖維為_____以上者得稱,3 公克,6 公克,8 公克,10 公克
3,校園食品中，董氏基金會訂定每份供應量之熱量應在_____以下。,150 大卡,200 大卡,250 大卡,300 大卡
3,校園食品中，董氏基金會訂定脂肪所供應的熱量應佔_____以下。,10%,20%,30%,40%
2,下列何者不屬於人工甘味料(代糖)？,糖精,楓糖,阿斯巴甜,醋碳內鉀(ACE-K)
3,同為瘦肉，下列的肉品，含油脂最少的是,牛肉,豬肉,雞肉,鵝肉
4,新鮮的水果比罐頭水果富含,醣類,蛋白質,油脂,維生素
1,雞肉是屬於何種蛋白質,完全蛋白質,部份完全蛋白質,半完全蛋白質,不完全蛋白質
1,紅豆所含之成份中，下列何者含量最多？,澱粉,蛋白質,維生素,礦物質
3,最容易受熱而被破壞的營養素是,澱粉,蛋白質,維生素,礦物質
4,下列何種食品需經過中央衛生主管機關審核認可，方可上市？,罐頭食品,蜜餞食品,肉類食品,保健食品
1,人體生長發育與組織修補的主要營養素為下列何者？,蛋白質,醣類,脂肪,維生素
3,人體必需脂肪酸有幾種？,一,二,三,四
4,1ppm＝,0.10%,0.01%,0.00%,0.00%
